block,item_name,item_text,type,response_options
Demographics,year_of_birth,In what year where you born?,MC_dropdown,1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Demographics,sex,What sex are you?,MC_dropdown,male; female; intersex
Commitment,aff_com1_likert7,I would be very happy to spend the rest of my career with this organization.,matrix,Strongly Disagree;Moderately Disagree;Slightly Disagree;Neither Agree nor Disagree;Slightly Agree;Moderately Agree;Strongly Agree
Commitment,aff_com2_likert7,I really feel as if this organization's problems are my own.,matrix,Strongly Disagree;Moderately Disagree;Slightly Disagree;Neither Agree nor Disagree;Slightly Agree;Moderately Agree;Strongly Agree
Commitment,aff_com3_likert7rev,"I do not feel a strong sense of ""belonging"" to my organization.",matrix,Strongly Disagree;Moderately Disagree;Slightly Disagree;Neither Agree nor Disagree;Slightly Agree;Moderately Agree;Strongly Agree
Commitment,aff_com4_likert7rev,"I do not feel ""emotionally attached"" to this organization.",matrix,Strongly Disagree;Moderately Disagree;Slightly Disagree;Neither Agree nor Disagree;Slightly Agree;Moderately Agree;Strongly Agree
Commitment,aff_com5_likert7rev,"I do not feel like ""part of the family"" at my organization.",matrix,Strongly Disagree;Moderately Disagree;Slightly Disagree;Neither Agree nor Disagree;Slightly Agree;Moderately Agree;Strongly Agree
Commitment,aff_com6_likert7,This organization has a great deal of personal meaning for me.,matrix,Strongly Disagree;Moderately Disagree;Slightly Disagree;Neither Agree nor Disagree;Slightly Agree;Moderately Agree;Strongly Agree
Commitment,contin_com1_likert7,"Right now, staying with my organization is a  matter of necessity as much as desire.",matrix,Strongly Disagree;Moderately Disagree;Slightly Disagree;Neither Agree nor Disagree;Slightly Agree;Moderately Agree;Strongly Agree
Commitment,contin_com2_likert7,"It would be very hard for me to leave my organization right now, even if I wanted to. ",matrix,Strongly Disagree;Moderately Disagree;Slightly Disagree;Neither Agree nor Disagree;Slightly Agree;Moderately Agree;Strongly Agree
Commitment,contin_com3_likert7,Too much of my life would be disrupted if I decided I wanted to leave my organization now. ,matrix,Strongly Disagree;Moderately Disagree;Slightly Disagree;Neither Agree nor Disagree;Slightly Agree;Moderately Agree;Strongly Agree
Commitment,contin_com4_likert7,I feel that I have too few options to consider leaving this organization.,matrix,Strongly Disagree;Moderately Disagree;Slightly Disagree;Neither Agree nor Disagree;Slightly Agree;Moderately Agree;Strongly Agree
Commitment,contin_com5_likert7,"If I had not already put so much of myself into this organization, I might consider working elsewhere.",matrix,Strongly Disagree;Moderately Disagree;Slightly Disagree;Neither Agree nor Disagree;Slightly Agree;Moderately Agree;Strongly Agree
Commitment,contin_com6_likert7,One of the few negative consequences of leaving this organization would be the scarcity of available alternatives.,matrix,Strongly Disagree;Moderately Disagree;Slightly Disagree;Neither Agree nor Disagree;Slightly Agree;Moderately Agree;Strongly Agree
Commitment,norm_com1_likert7rev,I do not feel any obligation to remain with my current employer.,matrix,Strongly Disagree;Moderately Disagree;Slightly Disagree;Neither Agree nor Disagree;Slightly Agree;Moderately Agree;Strongly Agree
Commitment,norm_com2_likert7,"Even if it were to my advantage, I do not feel it would be right to leave my organization now.",matrix,Strongly Disagree;Moderately Disagree;Slightly Disagree;Neither Agree nor Disagree;Slightly Agree;Moderately Agree;Strongly Agree
Commitment,norm_com3_likert7,I would feel guilty if I left my organization now.,matrix,Strongly Disagree;Moderately Disagree;Slightly Disagree;Neither Agree nor Disagree;Slightly Agree;Moderately Agree;Strongly Agree
Commitment,norm_com4_likert7,This organization deserves my loyalty.,matrix,Strongly Disagree;Moderately Disagree;Slightly Disagree;Neither Agree nor Disagree;Slightly Agree;Moderately Agree;Strongly Agree
Commitment,norm_com5_likert7,I would not leave my organization right now because I have a sense of obligation to the people in it.,matrix,Strongly Disagree;Moderately Disagree;Slightly Disagree;Neither Agree nor Disagree;Slightly Agree;Moderately Agree;Strongly Agree
Commitment,norm_com6_likert7,I owe a great deal to my organization.,matrix,Strongly Disagree;Moderately Disagree;Slightly Disagree;Neither Agree nor Disagree;Slightly Agree;Moderately Agree;Strongly Agree
Feelings About Your Job,job_aff1_likert5,I find real enjoyment in my jobI find real enjoyment in my job,MC,Strongly Disagree; Disagree; Neutral; Agree; Strongly Agree
Feelings About Your Job,job_aff2_likert5,I like my job better than the average person,MC,Strongly Disagree; Disagree; Neutral; Agree; Strongly Agree
Feelings About Your Job,job_aff3_likert5,Most days I am enthusiastic about my job,MC,Strongly Disagree; Disagree; Neutral; Agree; Strongly Agree
Feelings About Your Job,job_aff4_likert5,I feel fairly well satisfied with my job,MC,Strongly Disagree; Disagree; Neutral; Agree; Strongly Agree